participant,completed,age_years,child_age,child_gender,condition,flipped,attention_check_1,no_marked_cards_chosen,prediction,surprise_binary,surprise_likert
1,True,4.11,1500,m,unsurprising,False,correct,1,1.0,not_surprised,
2,True,5.02,1830,f,surprising,True,correct,3,3.0,surprised,very_surprised
3,True,5.59,2040,f,surprising,False,correct,3,2.0,surprised,pretty_surprised
4,True,4.11,1500,f,surprising,False,correct,3,3.0,surprised,pretty_surprised
5,True,4.26,1560,f,unsurprising,False,correct,3,3.0,surprised,very_surprised
6,True,5.28,1920,m,unsurprising,False,correct,3,3.0,not_surprised,
7,True,4.46,1620,m,surprising,True,correct,3,3.0,surprised,very_surprised
8,True,5.51,2010,f,surprising,False,correct,3,3.0,surprised,a_little_surprised
9,True,4.05,1470,m,surprising,True,correct,3,3.0,surprised,very_surprised
10,True,5.64,2070,m,unsurprising,False,correct,3,3.0,not_surprised,
11,True,4.15,1500,f,unsurprising,False,correct,3,3.0,surprised,a_little_surprised
12,True,4.19,1530,m,surprising,True,correct,3,1.0,not_surprised,
13,True,5.24,1920,m,unsurprising,False,correct,3,3.0,not_surprised,
14,True,4.11,1500,f,surprising,True,correct,3,3.0,surprised,pretty_surprised
15,False,4.04,1470,m,,,,0,,,
16,True,5.47,2010,f,unsurprising,True,correct,3,3.0,not_surprised,
17,True,4.8,1740,m,unsurprising,False,correct,3,3.0,surprised,a_little_surprised
18,True,5.52,2010,f,unsurprising,False,correct,3,3.0,not_surprised,
19,True,4.1,1500,f,surprising,False,correct,3,3.0,not_surprised,
20,True,5.7,2070,m,unsurprising,False,correct,3,3.0,surprised,a_little_surprised
21,True,5.98,2190,f,unsurprising,False,correct,3,3.0,not_surprised,
22,True,5.82,2130,m,surprising,False,correct,3,3.0,surprised,very_surprised
23,True,5.47,2010,m,unsurprising,True,correct,3,3.0,surprised,very_surprised
24,True,4.55,1650,f,unsurprising,False,correct,0,3.0,not_surprised,
25,True,5.96,2190,f,surprising,False,correct,3,0.0,surprised,very_surprised
26,True,5.85,2130,m,unsurprising,True,correct,3,3.0,surprised,very_surprised
27,True,4.03,1470,m,surprising,True,correct,3,0.0,not_surprised,
28,True,4.33,1590,f,unsurprising,False,correct,3,3.0,not_surprised,
29,True,4.35,1590,m,surprising,True,correct,3,3.0,not_surprised,
30,True,4.22,1530,m,,,,0,,,
31,True,4.33,1590,f,surprising,False,correct,3,3.0,surprised,pretty_surprised
32,True,5.52,2010,m,surprising,False,correct,3,3.0,not_surprised,
33,True,5.59,2040,m,surprising,False,correct,3,3.0,surprised,very_surprised
34,True,5.67,2070,f,surprising,True,correct,3,0.0,surprised,very_surprised
35,True,5.78,2100,m,unsurprising,True,correct,3,3.0,surprised,a_little_surprised
36,True,6.0,2190,m,unsurprising,True,correct,3,3.0,not_surprised,
37,True,4.37,1590,f,unsurprising,True,correct,3,3.0,not_surprised,
38,True,4.01,1470,m,surprising,True,correct,3,3.0,surprised,a_little_surprised
39,True,4.06,1470,f,unsurprising,False,correct,1,1.0,surprised,a_little_surprised
40,True,5.29,1920,m,unsurprising,False,correct,3,3.0,not_surprised,
41,True,4.06,1470,f,unsurprising,False,correct,3,3.0,not_surprised,
42,False,4.16,1530,f,unsurprising,False,correct,3,3.0,surprised,
43,True,4.37,1590,f,unsurprising,False,correct,3,3.0,surprised,a_little_surprised
44,True,4.73,1740,m,unsurprising,True,correct,3,3.0,surprised,a_little_surprised
45,False,4.9,1800,m,unsurprising,False,correct,3,3.0,not_surprised,
46,True,4.15,1500,f,surprising,True,correct,3,3.0,not_surprised,
47,False,5.72,2100,f,unsurprising,,correct,0,,,
48,True,4.82,1770,m,surprising,False,correct,3,3.0,not_surprised,
49,True,4.21,1530,m,unsurprising,True,correct,3,3.0,not_surprised,
50,True,4.19,1530,m,unsurprising,True,correct,1,3.0,,
51,True,4.92,1800,m,unsurprising,True,correct,3,3.0,surprised,very_surprised
52,True,5.79,2130,m,surprising,True,correct,3,2.0,surprised,a_little_surprised
53,True,4.11,1500,m,unsurprising,False,correct,3,3.0,not_surprised,
54,True,5.63,2070,f,surprising,True,correct,3,3.0,not_surprised,
55,True,5.46,1980,m,surprising,True,correct,3,3.0,surprised,very_surprised
56,True,5.87,2130,m,surprising,False,correct,3,1.0,surprised,very_surprised
57,True,4.02,1470,f,surprising,False,correct,3,3.0,surprised,very_surprised
58,True,5.52,2010,m,unsurprising,False,correct,3,3.0,surprised,very_surprised
59,True,5.82,2130,m,surprising,False,correct,3,3.0,surprised,very_surprised
60,True,5.94,2160,m,unsurprising,False,correct,2,2.0,not_surprised,
61,True,4.59,1680,f,surprising,True,correct,3,0.0,not_surprised,
62,True,5.08,1860,f,unsurprising,False,correct,3,3.0,surprised,a_little_surprised
63,True,4.36,1590,f,unsurprising,True,correct,3,3.0,surprised,very_surprised
64,True,4.65,1710,m,unsurprising,False,correct,3,3.0,not_surprised,
65,True,5.28,1920,f,surprising,False,correct,3,3.0,surprised,very_surprised
66,True,5.85,2130,f,unsurprising,False,correct,3,3.0,not_surprised,
67,True,4.1,1500,m,surprising,False,correct,3,3.0,surprised,very_surprised
68,True,5.58,2040,f,unsurprising,True,correct,3,3.0,not_surprised,
69,True,5.06,1860,m,surprising,False,correct,3,3.0,not_surprised,
70,True,4.5,1650,f,unsurprising,False,correct,3,3.0,not_surprised,
