participant,is_preview,completed,age_years,child_gender,condition,flipped,attention_check,first_choice,first_choice_dist,second_choice,second_choice_dist,third_choice,third_choice_dist,n_star_cards_selected,prediction,surprise_binary,surprise_likert
1,False,True,5.34,m,surprising,True,correct,47.0,0.0,25.0,1.0,13.0,0.0,2,3.0,not_surprised,
2,False,True,5.17,m,surprising,False,correct,34.0,3.0,24.0,2.0,13.0,0.0,1,3.0,surprised,very_surprised
3,False,True,4.11,m,unsurprising,False,correct,13.0,0.0,26.0,0.0,47.0,0.0,3,3.0,surprised,very_surprised
4,False,True,5.01,m,unsurprising,False,correct,26.0,0.0,13.0,0.0,47.0,0.0,3,3.0,not_surprised,
5,False,True,5.42,f,surprising,False,correct,37.0,1.0,16.0,1.0,27.0,1.0,0,1.0,not_surprised,
6,False,True,5.01,m,unsurprising,True,correct,47.0,0.0,26.0,0.0,13.0,0.0,3,3.0,not_surprised,
7,False,True,5.01,m,surprising,True,correct,15.0,2.0,26.0,0.0,4.0,2.0,1,3.0,not_surprised,
8,False,True,5.83,m,unsurprising,False,correct,47.0,0.0,26.0,0.0,13.0,0.0,3,3.0,not_surprised,
9,False,True,5.59,f,unsurprising,True,correct,47.0,0.0,26.0,0.0,13.0,0.0,3,3.0,not_surprised,
10,False,True,4.6,m,surprising,False,correct,26.0,0.0,17.0,2.0,6.0,2.0,1,3.0,surprised,pretty_surprised
11,False,True,5.09,f,surprising,False,incorrect,47.0,0.0,34.0,3.0,22.0,2.0,1,3.0,not_surprised,
12,False,True,3.2,m,unsurprising,True,correct,47.0,0.0,26.0,0.0,13.0,0.0,3,3.0,not_surprised,
13,False,True,4.52,m,surprising,True,correct,23.0,1.0,13.0,0.0,28.0,2.0,1,3.0,not_surprised,
14,False,True,5.5,m,unsurprising,True,correct,47.0,0.0,26.0,0.0,13.0,0.0,3,3.0,not_surprised,
15,False,True,5.42,m,surprising,False,correct,46.0,1.0,25.0,1.0,16.0,1.0,0,3.0,surprised,very_surprised
16,False,True,4.6,f,surprising,True,correct,48.0,1.0,38.0,2.0,28.0,2.0,0,0.0,surprised,a_little_surprised
17,False,True,5.67,m,unsurprising,False,correct,26.0,0.0,47.0,0.0,13.0,0.0,3,3.0,surprised,pretty_surprised
18,False,True,5.17,m,unsurprising,True,correct,26.0,0.0,47.0,0.0,13.0,0.0,3,3.0,not_surprised,
19,False,True,5.26,f,surprising,True,correct,15.0,2.0,26.0,0.0,37.0,1.0,1,3.0,not_surprised,
20,False,True,4.27,m,unsurprising,False,correct,47.0,0.0,10.0,6.0,26.0,0.0,2,2.0,not_surprised,
21,False,False,4.76,m,,,,,,,,,,0,,,
22,False,True,5.01,f,unsurprising,False,correct,47.0,0.0,14.0,1.0,26.0,0.0,2,2.0,surprised,very_surprised
23,False,True,4.19,f,surprising,False,incorrect,47.0,0.0,35.0,2.0,31.0,4.0,1,0.0,surprised,very_surprised
24,False,True,4.11,m,unsurprising,True,correct,26.0,0.0,13.0,0.0,47.0,0.0,3,2.0,not_surprised,
25,False,True,5.01,f,surprising,True,correct,30.0,4.0,20.0,5.0,10.0,6.0,0,3.0,surprised,very_surprised
26,False,True,4.68,m,surprising,False,correct,13.0,0.0,25.0,1.0,37.0,1.0,1,2.0,surprised,very_surprised
27,False,True,4.02,f,unsurprising,True,correct,13.0,0.0,26.0,0.0,47.0,0.0,3,3.0,surprised,pretty_surprised
28,False,True,5.75,m,surprising,False,correct,35.0,2.0,14.0,1.0,24.0,2.0,0,1.0,surprised,very_surprised
29,False,True,4.27,f,unsurprising,True,correct,26.0,0.0,47.0,0.0,13.0,0.0,3,1.0,not_surprised,
30,False,True,4.27,m,surprising,False,correct,37.0,1.0,35.0,2.0,36.0,1.0,0,3.0,not_surprised,
31,False,False,4.76,m,,,,,,,,,,0,,,
32,False,True,5.42,f,unsurprising,False,correct,13.0,0.0,26.0,0.0,47.0,0.0,3,3.0,not_surprised,
33,False,True,4.44,m,unsurprising,True,correct,26.0,0.0,47.0,0.0,13.0,0.0,3,3.0,not_surprised,
34,False,True,4.6,m,unsurprising,True,correct,47.0,0.0,26.0,0.0,13.0,0.0,3,3.0,surprised,pretty_surprised
35,False,True,5.34,m,surprising,False,correct,46.0,1.0,24.0,2.0,12.0,1.0,0,2.0,surprised,pretty_surprised
36,False,True,5.59,m,surprising,True,correct,47.0,0.0,25.0,1.0,14.0,1.0,1,0.0,surprised,very_surprised
37,False,True,4.93,m,unsurprising,True,correct,47.0,0.0,26.0,0.0,13.0,0.0,3,3.0,not_surprised,
38,False,True,4.76,o,surprising,True,correct,50.0,3.0,25.0,1.0,1.0,3.0,0,3.0,not_surprised,
39,False,False,4.68,f,,,correct,,,,,,,0,,,
40,False,True,4.11,m,unsurprising,True,correct,13.0,0.0,26.0,0.0,47.0,0.0,3,3.0,surprised,very_surprised
41,False,True,4.27,f,surprising,True,correct,49.0,2.0,48.0,1.0,29.0,3.0,0,3.0,surprised,very_surprised
42,False,True,5.01,m,surprising,False,correct,25.0,1.0,26.0,0.0,35.0,2.0,1,1.0,surprised,very_surprised
43,False,True,4.11,f,unsurprising,True,incorrect,50.0,3.0,49.0,2.0,48.0,1.0,0,3.0,not_surprised,
44,False,True,5.42,m,unsurprising,True,correct,26.0,0.0,47.0,0.0,13.0,0.0,3,3.0,surprised,very_surprised
45,False,True,5.42,f,surprising,True,incorrect,37.0,1.0,47.0,0.0,27.0,1.0,1,3.0,surprised,pretty_surprised
46,False,True,5.17,f,surprising,False,correct,24.0,2.0,36.0,1.0,48.0,1.0,0,3.0,surprised,very_surprised
47,False,True,5.75,f,unsurprising,False,correct,47.0,0.0,26.0,0.0,13.0,0.0,3,3.0,surprised,very_surprised
48,False,True,5.42,m,surprising,True,correct,31.0,4.0,34.0,3.0,32.0,3.0,0,3.0,surprised,a_little_surprised
49,False,True,5.91,f,surprising,False,correct,13.0,0.0,24.0,2.0,35.0,2.0,1,3.0,surprised,very_surprised
50,False,True,4.19,f,unsurprising,False,correct,13.0,0.0,26.0,0.0,47.0,0.0,3,3.0,not_surprised,
51,False,True,5.26,m,unsurprising,True,correct,47.0,0.0,26.0,0.0,13.0,0.0,3,3.0,not_surprised,
52,False,True,4.93,m,unsurprising,True,correct,13.0,0.0,26.0,0.0,47.0,0.0,3,3.0,not_surprised,
53,False,True,4.02,f,unsurprising,True,correct,47.0,0.0,26.0,0.0,13.0,0.0,3,3.0,not_surprised,
54,False,True,4.02,f,unsurprising,True,correct,47.0,0.0,26.0,0.0,13.0,0.0,3,3.0,not_surprised,
55,False,False,5.34,m,,,,,,,,,,0,,,
56,False,True,5.67,m,surprising,False,correct,25.0,1.0,36.0,1.0,46.0,1.0,0,3.0,not_surprised,
57,False,True,6.0,m,unsurprising,False,correct,47.0,0.0,26.0,0.0,13.0,0.0,3,3.0,not_surprised,
58,False,True,4.19,f,unsurprising,False,correct,13.0,0.0,26.0,0.0,47.0,0.0,3,3.0,surprised,very_surprised
59,False,True,4.6,f,unsurprising,True,correct,26.0,0.0,47.0,0.0,13.0,0.0,3,3.0,surprised,pretty_surprised
60,False,True,5.26,f,unsurprising,True,correct,26.0,0.0,47.0,0.0,13.0,0.0,3,3.0,not_surprised,
61,False,True,4.35,m,surprising,True,correct,15.0,2.0,47.0,0.0,25.0,1.0,1,3.0,not_surprised,
