participant,Marked for review?,video notes (AA),Why are you (not/a little/pretty/very) surprised?,Review complete? (AA),Final decision
1,No,Attentive and focused!,Because I remembered which card it was,True,Include
2,No,Attentive and focused!,I don't know,True,Include
3,No,Attentive and focused!,Because it's all stars,True,Include
4,No,Attentive and focused!,Because I already know that the markers are stars,True,Include
5,Yes,"Sibling was sitting right beside and was interfering -- also, TV playing background",Because I thought I didn't get all 3 stars,True,Exclude
6,Yes,Unclear if child speaks English? Mom is clicking for the child,Happy,True,Exclude
7,No,(Funny: Child prays to got to get 3 stars before reveal),,True,Include
8,No,Attentive and focused!,Because I already knew where the cards were,True,Include
9,No,Attentive and focused!,Because there were little green dots on the sides of the cards,True,Include
10,Yes,Parent is giving additional prompts/context,Because my brain hurts,True,Exclude
11,No,Attentive and focused!,Because I don't want to be,True,Include
12,No,Attentive and focused!,Because it wasn't really surprising,True,Include
13,No,Attentive and focused!,I just wanted to,True,Include
14,No,Attentive and focused!,It told me which ones,True,Include
15,No,"Attentive and focused! - Great demo video, funny/telling responses",Because I thought I was going to lose,True,Include
16,No,Attentive and focused!,I don't know,True,Include
17,No,Attentive and focused!,Because I didn't know that I got 3 stars and I liked that I got 3 stars,True,Include
18,No,Attentive and focused!,Because they had a green box on them,True,Include
19,No,Attentive and focused!,Because I don't know,True,Include
20,No,Attentive and focused!,I'm scared to say... Because I thought I got two stars,True,Include
21,Yes,Video got cut short?,,True,Exclude
22,Yes,"Child doesn't seem to understand English, parent completes task for them (scam submission?)",,True,Exclude
23,No,Attentive and focused! (Mom was a bit frustrated),I don't know,True,Include
24,Yes,Child did not seem to understand purpose of prediction scale and other responses,I just didn't know,True,Exclude
25,Yes,Unclear if child speaks English? Mom is clicking for the child. Gender does not match child (scam submission?),,True,Exclude
26,Yes,Unclear if child speaks English? Mom is clicking for the child. Gender does not match child (scam submission?),,True,Exclude
27,Yes,Corrupt file,,True,Exclude
28,No,Attentive and focused!,Because I got 3 stars,True,Include
29,Yes,Child did not seem to follow content of game,Because he was... I can't... Because he's angry,True,Exclude
30,Yes,Sibling is right next to child and playing (?) and child looks away while parent repeats questions,,True,Exclude
31,Yes,"Siblings are playing games in the background, child takes really long break (> 10 minutes)",,True,Exclude
32,No,Attentive and focused!,Because I know where the star cards are because I'm looking at the green button,True,Include
33,No,Attentive and focused!,I don't know,True,Include
34,No,Attentive and focused!,Because I look at the stars on the cards,True,Include
35,No,Attentive and focused!,Because I didn't know that I had 3 stars,True,Include
36,No,Attentive and focused!,I thought I got zero,True,Include
37,No,Attentive and focused!,"Because I did it, I already know that",True,Include
38,No,Attentive and focused!,Because I don't know,True,Include
39,Yes,Video got cut short,,True,Exclude
40,No,Attentive and focused!,I don't know,True,Include
41,No,Attentive and focused!,I don't know,True,Include
42,No,Attentive and focused!,Because I got 3 stars.,True,Include
43,No,"Attentive and focused! - ""I got 9 stars"", funny",Because I didn't get the stars,True,Include
44,No,Attentive and focused!,Because I got all 3 stars,True,Include
45,No,Attentive and focused! Computer stopped working at some point? and kid punched screen.,I think because I love it,True,Include
46,No,Attentive and focused! Funny example video,Because I got 3 stars,True,Include
47,No,Attentive and focused!,Because the squares look like its in a different place,True,Include
48,No,Attentive and focused!,Did not respond,True,Include
49,No,Attentive and focused!,Because I could not even believe how I got even 3 stars and I thought they were all wrong,True,Include
50,No,Attentive and focused!,Because I got 3 in a row,True,Include
51,No,Attentive and focused!,I'm not surprised because I knew,True,Include
52,No,Attentive and focused!,Because I was expecting all of them to be there,True,Include
53,No,Attentive and focused!,I don't know,True,Include
54,No,Attentive and focused!,I don't want to. Because at school I had sand in my mouth,True,Include
55,Yes,Did not play game,,True,Exclude
56,No,Attentive and focused!,Because I just knew,True,Include
57,No,Attentive and focused!,Because I knew where they were,True,Include
58,No,Attentive and focused!,Because I have 3 stars,True,Include
59,No,Attentive and focused!,Because I got all the stars,True,Include
60,No,Attentive and focused!,Because I knew the stars were there,True,Include
61,No,Attentive and focused!,Because I want to surprise SimonJacob's mom,True,Include
62,No,"Attentive and focused! Asked what surprised means - has desktop audio, good example video",Because I got [unintelligible],True,Include
63,Yes,Child is really distracted also painting and looking away regularly,,True,Exclude
64,Yes,Parent reiterated the task a lot at the beginning and also helped select cards,,True,Exclude
65,No,Attentive and focused!,I just did this this and this and didn't get any stars,True,Include
66,No,Attentive and focused!,Because I already knew it was no stars because I saw it before,True,Include
67,Yes,"Parent gave quite heavy instructions and provided additional incorrect input (""you're not supposed to remember, you're supposed to guess"")",I don't know,True,Exclude
68,Yes,"A lot of distraction; TV playing in background, siblings intefering, parent has salient surprise response at outcome",I don't know,True,Exclude
